01104460-a,301108153-s
01104889-a,301108582-s
01105042-a,301108735-s
01122907-a,301126669-s
01122907-a,301126669-s
01124574-a,301128372-s
01128719-a,none
01129644-a,none
01129644-a,none
01157421-v,none
01187503-a,301191046-s
01194328-a,301197871-s
01194328-a,301197871-s
01202367-a,302608526-a
01202514-a,302608655-a
01202634-a,302608757-a
01202813-a,302608907-a
01202813-a,302608907-a
01202994-a,302609070-a
01211531-a,301214203-s
01211531-a,301214203-s
01211828-a,301214500-s
01211962-a,301214634-s
01219827-a,301222498-a
01235439-a,301238312-s
01236842-a,301239715-s
01237433-a,301240306-s
01237656-a,301240529-s
01238773-a,301241646-s
01240235-a,301243108-a
01240413-a,301243286-a
01240591-a,301243464-a
01240805-a,301243678-s
01240805-a,301243678-s
01240931-a,301243804-s
01240931-a,301243804-s
01240931-a,301243804-s
01240931-a,301243804-s
01241065-a,301243938-a
01241248-a,301244121-s
01241248-a,301244121-s
01241455-a,301244328-s
01241600-a,301244473-s
01241757-a,301244630-a
01241927-a,301244800-a
01241927-a,301244800-a
01245490-v,none
01245490-v,none
01260731-n,none
01260731-n,none
01276992-a,301280102-s
01277426-a,301280536-s
01277426-a,301280536-s
01277426-a,301280536-s
01279183-a,301282293-s
01285850-a,none
01287972-a,301378757-s
01288298-a,301679481-s
01292128-a,301295251-a
01292411-a,301295534-s
01292411-a,301295534-s
01292411-a,301295534-s
01292683-a,301295806-s
01292683-a,301295806-s
01292884-a,301296007-s
01293049-a,301296172-s
01294330-n,none
01294330-n,none
01294756-a,301297879-s
01294857-a,301297980-s
01295143-a,301298266-s
01295946-a,301299067-s
01296091-a,301299212-s
01296091-a,301299212-s
01296091-a,301299212-s
01299484-a,301302432-s
01307067-a,301310022-s
01307067-a,301310022-s
01308089-a,301311044-s
01309220-a,301312175-s
01309220-a,301312175-s
01330662-a,301333614-s
01331988-v,none
01331988-v,none
01340691-a,301343744-s
01340691-a,301343744-s
01340875-a,301343928-s
01342572-a,300667636-a
01343773-v,none
